date,COD_mod
2025-05-30,650
2025-05-30,651
2025-05-30,652
2025-05-30,653
2025-05-30,654
2025-05-30,655
2025-05-30,656
2025-05-30,657
2025-05-30,658
2025-05-30,659
2025-05-30,660
2025-05-30,671
2025-05-30,672
2025-05-30,685
2025-05-30,686
2025-05-30,710
2025-05-30,711
2025-05-30,713
2025-05-30,714
2025-05-30,718
2025-05-30,719
2025-05-30,720
2025-05-30,721
2025-05-30,722
2025-05-30,723
2025-05-30,730
2025-05-30,731
2025-05-30,732
2025-05-30,733
2025-05-30,734
2025-05-30,735
2025-05-30,736
2025-05-30,737
2025-05-30,741
2025-05-30,742
2025-05-30,743
2025-05-30,747
2025-05-30,750
2025-05-30,751
2025-05-30,752
2025-05-30,753
2025-05-30,754
2025-05-30,755
2025-05-30,756
2025-05-30,823
2025-05-30,824
2025-05-30,825
2025-05-30,830
2025-05-30,831
2025-05-30,832
2025-05-30,833
2025-05-30,834
2025-05-30,852
2025-05-30,853
2025-05-30,854
2025-05-30,864
2025-05-30,865
2025-05-30,866
2025-05-30,867
2025-05-30,868
2025-05-30,870
2025-05-30,881
2025-05-30,887
2025-05-30,888
2025-05-30,889
2025-05-30,890
2025-05-30,891
2025-05-30,892
2025-05-30,893
2025-05-30,906
2025-05-30,909
2025-05-30,910
2025-05-30,914
2025-05-30,915
2025-05-30,916
2025-05-30,917
2025-05-30,918
2025-05-30,919
2025-05-30,920
2025-05-30,921
2025-05-30,922
2025-05-30,951
2025-05-30,952
2025-05-30,953
2025-05-30,954
2025-05-30,961
2025-05-30,962
2025-05-30,963
2025-05-30,964
2025-05-30,965
2025-05-30,966
2025-05-30,967
2025-05-30,968
2025-05-30,969
2025-05-30,970
2025-05-30,971
2025-05-30,972
2025-05-30,973
2025-05-30,974
2025-05-30,975
2025-05-30,976
2025-05-30,977
2025-05-30,978
2025-05-30,979
2025-05-30,980
2025-05-30,982
2025-05-30,983
2025-05-30,984
2025-05-30,1122
2025-05-30,1123
2025-05-30,1124
2025-05-30,1126
2025-05-30,1738
2025-05-30,1739
2025-05-30,1740
2025-05-30,1741
2025-05-30,1742
2025-05-30,1743
2025-05-30,1744
2025-05-30,1745
2025-05-30,1746
2025-05-30,1747
2025-05-30,1748
2025-05-30,1749
2025-05-30,1750
2025-05-30,1751
2025-05-30,1752
2025-05-30,1754
2025-05-30,1755
2025-05-30,1756
2025-05-30,1758
2025-05-30,1759
2025-05-30,1760
2025-05-30,1761
2025-05-30,1762
2025-05-30,1763
2025-05-30,1764
2025-05-30,1765
2025-05-30,1766
2025-05-30,1767
2025-05-30,1768
2025-05-30,1769
2025-05-30,1770
2025-05-30,1771
2025-05-30,1772
2025-05-30,1774
2025-05-30,1775
2025-05-30,1776
2025-05-30,1777
2025-05-30,1778
2025-05-30,1781
2025-05-30,1782
2025-05-30,1783
2025-05-30,1784
2025-05-30,1785
2025-05-30,1786
2025-05-30,1787
2025-05-30,1788
2025-05-30,1789
2025-05-30,1790
2025-05-30,1791
2025-05-30,1792
2025-05-30,1793
2025-05-30,1794
2025-05-30,1795
2025-05-30,1796
2025-05-30,1797
2025-05-30,1798
2025-05-30,1799
2025-05-30,1800
2025-05-30,1801
2025-05-30,1802
2025-05-30,1803
2025-05-30,1804
2025-05-30,1805
2025-05-30,1806
2025-05-30,1807
2025-05-30,1808
2025-05-30,1809
2025-05-30,1810
2025-05-30,1811
2025-05-30,1812
2025-05-30,1813
2025-05-30,1814
2025-05-30,1815
2025-05-30,1816
2025-05-30,1817
2025-05-30,1818
2025-05-30,1819
2025-05-30,1820
2025-05-30,2200
2025-05-30,2210
2025-05-30,2231
2025-05-31,36
2025-05-31,37
2025-05-31,38
2025-05-31,39
2025-05-31,40
2025-05-31,41
2025-05-31,42
2025-05-31,43
2025-05-31,44
2025-05-31,45
2025-05-31,46
2025-05-31,47
2025-05-31,48
2025-05-31,49
2025-05-31,50
2025-05-31,51
2025-05-31,52
2025-05-31,53
2025-05-31,54
2025-05-31,55
2025-05-31,56
2025-05-31,57
2025-05-31,58
2025-05-31,59
2025-05-31,60
2025-05-31,61
2025-05-31,62
2025-05-31,63
2025-05-31,64
2025-05-31,67
2025-05-31,68
2025-05-31,69
2025-05-31,70
2025-05-31,71
2025-05-31,72
2025-05-31,73
2025-05-31,74
2025-05-31,75
2025-05-31,76
2025-05-31,77
2025-05-31,78
2025-05-31,99
2025-05-31,100
2025-05-31,101
2025-05-31,102
2025-05-31,103
2025-05-31,104
2025-05-31,105
2025-05-31,106
2025-05-31,107
2025-05-31,108
2025-05-31,114
2025-05-31,115
2025-05-31,116
2025-05-31,117
2025-05-31,118
2025-05-31,121
2025-05-31,122
2025-05-31,123
2025-05-31,124
2025-05-31,125
2025-05-31,126
2025-05-31,127
2025-05-31,131
2025-05-31,212
2025-05-31,213
2025-05-31,214
2025-05-31,215
2025-05-31,216
2025-05-31,217
2025-05-31,218
2025-05-31,219
2025-05-31,220
2025-05-31,221
2025-05-31,222
2025-05-31,223
2025-05-31,224
2025-05-31,225
2025-05-31,231
2025-05-31,232
2025-05-31,233
2025-05-31,234
2025-05-31,235
2025-05-31,236
2025-05-31,237
2025-05-31,238
2025-05-31,239
2025-05-31,240
2025-05-31,241
2025-05-31,242
2025-05-31,243
2025-05-31,244
2025-05-31,245
2025-05-31,246
2025-05-31,247
2025-05-31,248
2025-05-31,249
2025-05-31,250
2025-05-31,251
2025-05-31,252
2025-05-31,253
2025-05-31,254
2025-05-31,255
2025-05-31,256
2025-05-31,260
2025-05-31,2250
2025-05-31,2260
2025-05-31,2270
2025-05-31,2280
2025-05-31,2352
2025-05-31,2353
2025-05-31,2354
2025-05-31,2355
2025-06-02,47
2025-06-02,106
2025-06-02,108
2025-06-02,109
2025-06-04,321
2025-06-04,568
2025-06-04,569
2025-06-04,570
2025-06-04,571
2025-06-04,572
2025-06-04,573
2025-06-04,574
2025-06-04,575
2025-06-04,576
2025-06-04,577
2025-06-04,578
2025-06-04,579
2025-06-04,580
2025-06-04,581
2025-06-04,582
2025-06-04,583
2025-06-04,584
2025-06-04,585
2025-06-04,586
2025-06-04,587
2025-06-04,589
2025-06-04,590
2025-06-04,604
2025-06-04,605
2025-06-04,606
2025-06-04,607
2025-06-04,608
2025-06-04,609
2025-06-04,610
2025-06-04,612
2025-06-04,613
2025-06-04,614
2025-06-04,615
2025-06-04,616
2025-06-04,617
2025-06-04,618
2025-06-04,619
2025-06-04,620
2025-06-04,622
2025-06-04,623
2025-06-04,624
2025-06-04,625
2025-06-04,626
2025-06-04,627
2025-06-04,628
2025-06-04,629
2025-06-04,630
2025-06-04,631
2025-06-04,632
2025-06-04,633
2025-06-04,634
2025-06-04,635
2025-06-04,636
2025-06-04,637
2025-06-04,638
